Tweet id	Tweet permalink	Tweet text	time	impressions	engagements	engagement rate	retweets	replies	favorites	user profile clicks	url clicks	hashtag clicks	detail expands	permalink clicks	embedded media clicks	app opens	app install attempts	follows	email tweet	dial phone	video views
5.20E+17	https://twitter.com/beet_keeper/status/520373887968616448	Just as I ramble @digitalfay steps up reminding me of the answer!! EVIDENCE BASED SOLUTIONS! Thx sir! #ipres2014	2014-10-10 00:42 +0000	325	19	0.06	3	1	2	0	0	6	7	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520372721452982274	Surely the market decides at all times? including #digitalpreservation - little funding/few buyers/little demand. #ipres2014	2014-10-10 00:38 +0000	268	5	0.02	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520370903201226752	.@mopennock when some of this doesn't work - we still have no power to influence it... #ipres2014 #rambling! ^_^;	2014-10-10 00:31 +0000	142	7	0.05	0	0	1	0	0	2	3	0	0	0	0	1	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520370543044739072	".@mopennock but in former, suggest we're still in a situation as consumers, some of our vendors aren't at #ipres2014 OS /disk manufacturers"	2014-10-10 00:29 +0000	164	5	0.03	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520370149161848833	".@mopennock yep. I have to think some more about it. Means some #ipres2014 convos are like consumer watchdogs, other's vendors/providers."	2014-10-10 00:28 +0000	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520369788095188992	Continuous interoperability? #digitalpreservation #ipres2014	2014-10-10 00:26 +0000	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520368389848444930	Is there a mistaken view that we're the providers? Are we still not just the users/consumers of '#digitalpreservation'? #ipres2014	2014-10-10 00:21 +0000	415	8	0.02	2	1	1	0	0	1	2	0	0	0	0	0	1	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520362539935223809	.@BarbaraSierman: We haven't the right toolkit in #digitalpreservation #ipres2014	2014-10-09 23:57 +0000	196	4	0.02	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520358451210240000	.@digitalfay yes! #ipres2014	2014-10-09 23:41 +0000	138	3	0.02	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520358284306300928	.@digitalfay calls for transparency of digital preservation functions in tools/repositories. #ipres2014	2014-10-09 23:40 +0000	216	9	0.04	1	1	1	0	0	2	4	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520346989486026754	"I wonder what the economics of web archiving look like... If my page is archived, I no longer need hosting if no longer updated. #ipres2014"	2014-10-09 22:56 +0000	427	25	0.06	3	3	1	0	0	4	14	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520081159611379712	Tools like DRAMBORA needs better output so data can be used elsewhere. #digitalpreservation #riskmanagement #ipres2014	2014-10-09 05:19 +0000	230	2	0.01	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520078206741659650	.@beet_keeper but there are potential benefits. It's not always such a bad word... http://t.co/HpV8N9XdAy #ipres2014	2014-10-09 05:08 +0000	181	2	0.01	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520077526220034048	And perhaps some duplication we see in #digitalpreservation is classical economics? http://t.co/yq1sEAQ3Fj #competition(?) #ipres2014	2014-10-09 05:05 +0000	253	9	0.04	0	2	2	0	1	1	3	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520073964685508609	".@katreeeena @C_Fryer that is, balance, between waiting and just doing (solving?) it... #ipres2014"	2014-10-09 04:51 +0000	154	3	0.02	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520073644664303616	".@katreeeena @C_Fryer also, I'm of opinion we can't just wait for something to appear to potentially solve our problems. Balance? #ipres2014"	2014-10-09 04:49 +0000	162	5	0.03	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520073255403548672	".@katreeeena @C_Fryer tough one, some projects are multi-institutional, so 'collaborative' - so what does collaborative mean? #ipres2014"	2014-10-09 04:48 +0000	156	2	0.01	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520020571715670016	.@beet_keeper large scale preservation action can't be done without impacting the processes of other areas. E.g #digitisation #ipres2014	2014-10-09 01:19 +0000	275	6	0.02	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520020128193191936	Smith: #digitalpreservation system at National Library New Zealand is not just a #DP system. It's a collections system. #ipres2014	2014-10-09 01:17 +0000	490	15	0.03	4	1	3	0	0	1	6	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520018788809338881	Policy being discussed in primary session is shared across National Library of New Zealand and Archives New Zealand. #ipres2014	2014-10-09 01:11 +0000	168	1	0.01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520016147106627584	.@mopennock: Context paramount for when we display online. Content invariably to be reused/remixed. #ipres2014	2014-10-09 01:01 +0000	178	4	0.02	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
5.20E+17	https://twitter.com/beet_keeper/status/520012810349068288	.@britishlibrary @mopennock try not to distinguish between digitised and born-digital at the highest level. #ipres2014	2014-10-09 00:48 +0000	204	3	0.01	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
